topic,title,content,tokens,context
aid-programs,aid-programs exemptions-and-waivers military-stationed-in-texas 1,"Veteran Exemptions and Waivers
Veteran Benefits Forms

The purpose of this program is to provide a waiver of nonresident tuition to the member, spouse, and dependent children of non-Texas members of the U.S. Armed Forces and Commissioned Officers of the Public Health Service while they are stationed in Texas.
Although nonresidents, the member, spouse, and children may pay the resident rate while stationed in Texas. Contact the Veterans Benefits Team to begin the application process. You must provide proof of current assignment or duty in Texas.",113,"aid-programs exemptions-and-waivers military-stationed-in-texas 1
Veteran Exemptions and Waivers
Veteran Benefits Forms

The purpose of this program is to provide a waiver of nonresident tuition to the member, spouse, and dependent children of non-Texas members of the U.S. Armed Forces and Commissioned Officers of the Public Health Service while they are stationed in Texas.
Although nonresidents, the member, spouse, and children may pay the resident rate while stationed in Texas. Contact the Veterans Benefits Team to begin the application process. You must provide proof of current assignment or duty in Texas."
aid-programs,aid-programs exemptions-and-waivers military-survivors 1,"The purpose of this program is to provide a waiver of nonresident tuition to the spouse and/or children of non-Texas members of the U.S. Armed Forces and Commissioned Officers of the Public Health Service who died or were killed while in service if the spouse or child becomes a Texas resident. To qualify, the spouse or child must move to Texas within 60 days of the date of the death of the service member. (The parent is not required to relocate to Texas with the child for the child to qualify for the waiver.)
This program permits nonresident students to pay tuition and fees at the resident rate. Contact the Veterans Benefits Team to begin the application process. You must provide proof that you meet the program eligibility requirements.",148,"aid-programs exemptions-and-waivers military-survivors 1
The purpose of this program is to provide a waiver of nonresident tuition to the spouse and/or children of non-Texas members of the U.S. Armed Forces and Commissioned Officers of the Public Health Service who died or were killed while in service if the spouse or child becomes a Texas resident. To qualify, the spouse or child must move to Texas within 60 days of the date of the death of the service member. (The parent is not required to relocate to Texas with the child for the child to qualify for the waiver.)
This program permits nonresident students to pay tuition and fees at the resident rate. Contact the Veterans Benefits Team to begin the application process. You must provide proof that you meet the program eligibility requirements."
aid-programs,aid-programs exemptions-and-waivers military-texas-national-guard 1,"
 

UT Dallas > Office of Financial Aid > Aid Programs > Exemptions and Waivers > Military – Texas National Guard
Military – Texas National Guard

Related Pages

Related Pages

Grants

Complete the TEXAS Grant Statement of Eligibility

Student Loans

Federal Loans

Federal Loan Repayment

How to Accept Loans
State Loans

State Loan Repayment

Private Education Loans

Private Loan Repayment

Exemptions and Waivers
The purpose of this program is to provide an exemption from the payment of tuition to certain members of the Texas National Guard, Texas Air Guard, or the State Guard.
In order to be eligible for the exemption, you must:

Be a Texas resident.
Register for the Selective Service or be exempt from this requirement.
Be an active, drilling member of the Texas National Guard, Texas Air Guard, or the State Guard.

Individual awards are for your tuition charges (based on the resident rate) for up to 12 semester credit hours in a semester. If you take more than 12 hours, a source other than this program must be used to pay for the additional hours.
To begin the application process, you should contact the unit commander of your National Guard, Air Guard, or State Guard unit or the Education Officer at the State Adjutant General’s Office at 512-782-5515 or send an e-mail to education.office@tx.ngb.army.mil. The Education Office will provide instructions.

 

 
 

",333,"aid-programs exemptions-and-waivers military-texas-national-guard 1

 

UT Dallas > Office of Financial Aid > Aid Programs > Exemptions and Waivers > Military – Texas National Guard
Military – Texas National Guard

Related Pages

Related Pages

Grants

Complete the TEXAS Grant Statement of Eligibility

Student Loans

Federal Loans

Federal Loan Repayment

How to Accept Loans
State Loans

State Loan Repayment

Private Education Loans

Private Loan Repayment

Exemptions and Waivers
The purpose of this program is to provide an exemption from the payment of tuition to certain members of the Texas National Guard, Texas Air Guard, or the State Guard.
In order to be eligible for the exemption, you must:

Be a Texas resident.
Register for the Selective Service or be exempt from this requirement.
Be an active, drilling member of the Texas National Guard, Texas Air Guard, or the State Guard.

Individual awards are for your tuition charges (based on the resident rate) for up to 12 semester credit hours in a semester. If you take more than 12 hours, a source other than this program must be used to pay for the additional hours.
To begin the application process, you should contact the unit commander of your National Guard, Air Guard, or State Guard unit or the Education Officer at the State Adjutant General’s Office at 512-782-5515 or send an e-mail to education.office@tx.ngb.army.mil. The Education Office will provide instructions.

 

 
 

"
aid-programs,aid-programs exemptions-and-waivers military-veterans-who-move-to-texas 1,"The purpose of this program is to provide an immediate waiver of nonresident tuition to an honorably discharged, separated, or retired veteran and his or her spouse and dependent children who move to Texas upon the member’s separation from the military.
In order to be eligible for the waiver, the veteran must:

Be a former member of the U.S. Armed Forces or a former Commissioned Officer of the U.S. Public Health Service.
Be retired or have been honorably discharged.
Have enrolled in a Texas public college or university for any term or semester that begins before the first anniversary of the member’s separation (applicable to the veteran, his or spouse, and/or dependent children).
Have met the following requirements:

At least one year preceding the first day of the term or semester, you must have executed a document with the applicable service branch that is in effect on the first day of the term or semester that (a) indicates the member’s permanent residence address is in Texas and (b) designates Texas as the member’s place of legal residence for income tax purposes.
You must have registered to vote in Texas for the entire year preceding the first day of the term or semester.
You must satisfy at least one of the following:

For the entire year preceding the first day of the term or semester, you must have owned real property in Texas and in that time have not been delinquent in the payment of any taxes on the property
You must have had an automobile registered in Texas for the entire year preceding the first day of the term or semester.
At least one year preceding the first day of the term or semester, you must have executed a will that has not been revoked or superseded indicating that the member is a resident of this state and deposited the will with the county clerk of the county of the member’s residence under Section 71, Texas Probate Code.

This program permits nonresident students to pay tuition and fees at the resident rate. Contact the Veterans Benefits Team to begin the application process. You must provide proof that you meet the program eligibility requirements.

 

 
 

",447,"aid-programs exemptions-and-waivers military-veterans-who-move-to-texas 1
The purpose of this program is to provide an immediate waiver of nonresident tuition to an honorably discharged, separated, or retired veteran and his or her spouse and dependent children who move to Texas upon the member’s separation from the military.
In order to be eligible for the waiver, the veteran must:

Be a former member of the U.S. Armed Forces or a former Commissioned Officer of the U.S. Public Health Service.
Be retired or have been honorably discharged.
Have enrolled in a Texas public college or university for any term or semester that begins before the first anniversary of the member’s separation (applicable to the veteran, his or spouse, and/or dependent children).
Have met the following requirements:

At least one year preceding the first day of the term or semester, you must have executed a document with the applicable service branch that is in effect on the first day of the term or semester that (a) indicates the member’s permanent residence address is in Texas and (b) designates Texas as the member’s place of legal residence for income tax purposes.
You must have registered to vote in Texas for the entire year preceding the first day of the term or semester.
You must satisfy at least one of the following:

For the entire year preceding the first day of the term or semester, you must have owned real property in Texas and in that time have not been delinquent in the payment of any taxes on the property
You must have had an automobile registered in Texas for the entire year preceding the first day of the term or semester.
At least one year preceding the first day of the term or semester, you must have executed a will that has not been revoked or superseded indicating that the member is a resident of this state and deposited the will with the county clerk of the county of the member’s residence under Section 71, Texas Probate Code.

This program permits nonresident students to pay tuition and fees at the resident rate. Contact the Veterans Benefits Team to begin the application process. You must provide proof that you meet the program eligibility requirements.

 

 
 

"
aid-programs,aid-programs exemptions-and-waivers nato-members-and-families 1,"The purpose of this program is to enable an individual and his or her spouse and children in the state in accordance with the agreement between the parties to the North Atlantic Treaty Organization to enroll in public institutions in Texas while paying the resident tuition rate.
This program permits nonresident students to pay tuition and fees at the resident rate. Contact the Veterans Benefits Team to begin the application process. Students must provide proof that the family is stationed in Texas in keeping with the North Atlantic Treaty.

 

 
 

",102,"aid-programs exemptions-and-waivers nato-members-and-families 1
The purpose of this program is to enable an individual and his or her spouse and children in the state in accordance with the agreement between the parties to the North Atlantic Treaty Organization to enroll in public institutions in Texas while paying the resident tuition rate.
This program permits nonresident students to pay tuition and fees at the resident rate. Contact the Veterans Benefits Team to begin the application process. Students must provide proof that the family is stationed in Texas in keeping with the North Atlantic Treaty.

 

 
 

"
aid-programs,aid-programs exemptions-and-waivers peace-office-exemption 1,"The purpose of the program is to provide a benefit to persons who were injured in the line of duty while serving as peace officers. The maximum award is an exemption from the payment of tuition and required fees for no more than 12 semesters or sessions. No funds may be used to pay tuition for continuing education courses for which UT Dallas receives no state tax support.
In order to be eligible for the exemption, you must:

Be a Texas resident.
Have been disabled in the line of duty as a peace officer.
Enroll in courses for which UT Dallas receives state tax support.

Additionally, undergraduate students must maintain a 2.0 cumulative GPA and must not be subject to the fee for excessive hours, as determined by the Office of the Registrar. Graduate students must maintain a 3.0 cumulative GPA.
You may not receive this exemption if you are enrolled in a master’s degree program or are attending postgraduate courses to meet the requirements of a master’s degree program, and you have previously received a master’s degree and received this exemption for a semester or session while attending a postgraduate course to meet the requirements of that master’s degree program.
You may not receive this exemption if you are enrolled in a doctoral degree program or are attending postgraduate courses to meet the requirements of a doctoral degree program, and you have previously received a doctoral degree and received this exemption for a semester or session while attending a postgraduate course to meet the requirements of that doctoral degree program.
To apply for the exemption, you must work directly with the Office of Financial Aid and submit satisfactory documentation of your status as a disabled peace officer.

 

 
 

",345,"aid-programs exemptions-and-waivers peace-office-exemption 1
The purpose of the program is to provide a benefit to persons who were injured in the line of duty while serving as peace officers. The maximum award is an exemption from the payment of tuition and required fees for no more than 12 semesters or sessions. No funds may be used to pay tuition for continuing education courses for which UT Dallas receives no state tax support.
In order to be eligible for the exemption, you must:

Be a Texas resident.
Have been disabled in the line of duty as a peace officer.
Enroll in courses for which UT Dallas receives state tax support.

Additionally, undergraduate students must maintain a 2.0 cumulative GPA and must not be subject to the fee for excessive hours, as determined by the Office of the Registrar. Graduate students must maintain a 3.0 cumulative GPA.
You may not receive this exemption if you are enrolled in a master’s degree program or are attending postgraduate courses to meet the requirements of a master’s degree program, and you have previously received a master’s degree and received this exemption for a semester or session while attending a postgraduate course to meet the requirements of that master’s degree program.
You may not receive this exemption if you are enrolled in a doctoral degree program or are attending postgraduate courses to meet the requirements of a doctoral degree program, and you have previously received a doctoral degree and received this exemption for a semester or session while attending a postgraduate course to meet the requirements of that doctoral degree program.
To apply for the exemption, you must work directly with the Office of Financial Aid and submit satisfactory documentation of your status as a disabled peace officer.

 

 
 

"
aid-programs,aid-programs exemptions-and-waivers peace-officer-in-cjs 1,"The purpose of this program is to encourage persons employed as peace officers to take courses designed to help them in their work. Tuition and laboratory fees for courses offered as part of a law enforcement-related or criminal justice curriculum that pertain to the major requirements of the identified programs are eligible for reimbursement. Courses not directly related to law enforcement or criminal justice are not eligible for reimbursement even though they may be required for completion of the certificate or degree. No funds may be used to pay tuition for continuing education courses for which UT Dallas receives no state tax support.
In order to be eligible for the exemption, you must:

Be employed as a peace officer by the state of Texas or by a political subdivision of Texas.
Be enrolled as an undergraduate in an undergraduate program, including certificate, associate and baccalaureate degrees leading to a law enforcement-related or criminal justice certificate or degree.
Enroll in classes for which UT Dallas receives tax support (i.e., a course that does not depend solely on student tuition and fees to cover its costs).
Meet the UT Dallas Satisfactory Academic Progress (SAP) policy.
Apply for the exemption at least one week before the last date of the University’s regular registration period for the applicable term.
Not be subject to the fee for excessive hours.

Provide the Office of Financial Aid with proof of employment as a paid peace officer and enroll in the courses of a law enforcement or criminal justice curriculum in order to apply.

 

 
 

",312,"aid-programs exemptions-and-waivers peace-officer-in-cjs 1
The purpose of this program is to encourage persons employed as peace officers to take courses designed to help them in their work. Tuition and laboratory fees for courses offered as part of a law enforcement-related or criminal justice curriculum that pertain to the major requirements of the identified programs are eligible for reimbursement. Courses not directly related to law enforcement or criminal justice are not eligible for reimbursement even though they may be required for completion of the certificate or degree. No funds may be used to pay tuition for continuing education courses for which UT Dallas receives no state tax support.
In order to be eligible for the exemption, you must:

Be employed as a peace officer by the state of Texas or by a political subdivision of Texas.
Be enrolled as an undergraduate in an undergraduate program, including certificate, associate and baccalaureate degrees leading to a law enforcement-related or criminal justice certificate or degree.
Enroll in classes for which UT Dallas receives tax support (i.e., a course that does not depend solely on student tuition and fees to cover its costs).
Meet the UT Dallas Satisfactory Academic Progress (SAP) policy.
Apply for the exemption at least one week before the last date of the University’s regular registration period for the applicable term.
Not be subject to the fee for excessive hours.

Provide the Office of Financial Aid with proof of employment as a paid peace officer and enroll in the courses of a law enforcement or criminal justice curriculum in order to apply.

 

 
 

"
aid-programs,aid-programs exemptions-and-waivers sandia-labs-waiver 1,"Effective September 1, 2005, Sandia National Laboratories employees, as well as their spouses and dependent children, may pay the tuition and fees charged to residents of the state of Texas when enrolled in a UT System institution. This waiver of out-of-state tuition terminates upon the termination of employment with Sandia. Documentation of eligibility will be required of enrolled students at the beginning of each semester in which they are enrolled in a UT System institution.
Email the Office of Financial Aid to begin the application process.

 

 
 

",109,"aid-programs exemptions-and-waivers sandia-labs-waiver 1
Effective September 1, 2005, Sandia National Laboratories employees, as well as their spouses and dependent children, may pay the tuition and fees charged to residents of the state of Texas when enrolled in a UT System institution. This waiver of out-of-state tuition terminates upon the termination of employment with Sandia. Documentation of eligibility will be required of enrolled students at the beginning of each semester in which they are enrolled in a UT System institution.
Email the Office of Financial Aid to begin the application process.

 

 
 

"
aid-programs,aid-programs exemptions-and-waivers senior-citizen-65-auditing 1,"The purpose of this program is to encourage senior citizens to continue their education and keep involved with local colleges and universities.
In order to be eligible for the exemption, you must:

Be a Texas resident, nonresident, or foreign student.
Enroll in a class that is not already filled with students who are paying full price for the course (if the class is too small to accommodate both regular students and senior citizens, the regular students must be given priority).
Enroll in classes for which UT Dallas receives tax support.

Additionally, undergraduate students must maintain a 2.0 cumulative GPA and must not be subject to the fee for excessive hours, as determined by the Office of the Registrar. Graduate students must maintain a 3.0 cumulative GPA.
The maximum award is tuition and fees for the number of hours audited in a semester. No funds may be used to pay tuition for continuing education classes for which UT Dallas receives no state tax support.
Provide proof of eligibility, such as a state-issued identification card, to the Office of Financial Aid to apply for the program.

 

 
 

",230,"aid-programs exemptions-and-waivers senior-citizen-65-auditing 1
The purpose of this program is to encourage senior citizens to continue their education and keep involved with local colleges and universities.
In order to be eligible for the exemption, you must:

Be a Texas resident, nonresident, or foreign student.
Enroll in a class that is not already filled with students who are paying full price for the course (if the class is too small to accommodate both regular students and senior citizens, the regular students must be given priority).
Enroll in classes for which UT Dallas receives tax support.

Additionally, undergraduate students must maintain a 2.0 cumulative GPA and must not be subject to the fee for excessive hours, as determined by the Office of the Registrar. Graduate students must maintain a 3.0 cumulative GPA.
The maximum award is tuition and fees for the number of hours audited in a semester. No funds may be used to pay tuition for continuing education classes for which UT Dallas receives no state tax support.
Provide proof of eligibility, such as a state-issued identification card, to the Office of Financial Aid to apply for the program.

 

 
 

"
aid-programs,aid-programs exemptions-and-waivers senior-citizen-65 1,"The purpose of this program is to encourage senior citizens to continue their education and keep involved with local colleges and universities.
In order to be eligible for the exemption, you must:

Be a Texas resident, nonresident, or foreign student.
Enroll in a class that is not already filled with students who are paying full price for the course (if the class is too small to accommodate both regular students and senior citizens, the regular students must be given priority).
Enroll in classes for which UT Dallas receives tax support (i.e., a course that does not depend solely on student tuition and fees to cover its costs).

Additionally, undergraduate students must maintain a 2.0 cumulative GPA and must not be subject to the fee for excessive hours, as determined by the Office of the Registrar. Graduate students must maintain a 3.0 cumulative GPA.
You may be exempted from tuition for up to six semester credit hours each semester or summer term if space is available. The award does not cover fees charged for the classes. It only covers tuition. No funds may be used to pay tuition for continuing education classes for which UT Dallas receives no state tax support.
Provide proof of eligibility, such as a state-issued identification card, to the Office of Financial Aid to apply for the program.

 

 
 

",272,"aid-programs exemptions-and-waivers senior-citizen-65 1
The purpose of this program is to encourage senior citizens to continue their education and keep involved with local colleges and universities.
In order to be eligible for the exemption, you must:

Be a Texas resident, nonresident, or foreign student.
Enroll in a class that is not already filled with students who are paying full price for the course (if the class is too small to accommodate both regular students and senior citizens, the regular students must be given priority).
Enroll in classes for which UT Dallas receives tax support (i.e., a course that does not depend solely on student tuition and fees to cover its costs).

Additionally, undergraduate students must maintain a 2.0 cumulative GPA and must not be subject to the fee for excessive hours, as determined by the Office of the Registrar. Graduate students must maintain a 3.0 cumulative GPA.
You may be exempted from tuition for up to six semester credit hours each semester or summer term if space is available. The award does not cover fees charged for the classes. It only covers tuition. No funds may be used to pay tuition for continuing education classes for which UT Dallas receives no state tax support.
Provide proof of eligibility, such as a state-issued identification card, to the Office of Financial Aid to apply for the program.

 

 
 

"
aid-programs,aid-programs exemptions-and-waivers surviving-spousechild-of-deceased-public-servants 1,"The purpose of the program is to provide free tuition and fees, free textbooks, and possibly free room and board to certain students whose parent or spouse was killed in the line of duty on or after September 1, 2000, while employed in certain public service positions.
In order to be eligible for the exemption, you must:

Be a surviving spouse or a surviving minor child of certain public employees.
Be enrolled full-time.

Additionally, undergraduate students must maintain a 2.0 cumulative GPA and must not be subject to the fee for excessive hours, as determined by the Office of the Registrar. Graduate students must maintain a 3.0 cumulative GPA.
Eligible students are exempted from the payment of all tuition and fees. In addition, UT Dallas will provide an allowance for textbooks. If you are eligible to live in on-campus housing, UT Dallas will provide you either free room or board, or if no on-campus housing is available, the University will provide you a room and board stipend equal to the amount you could have received if living on-campus. No funds may be used to pay tuition for continuing education courses for which UT Dallas receives no state tax support.
Contact the Office of Financial Aid for information on claiming this exemption. You must be able to provide proof of meeting the program’s eligibility requirements, as outlined above.

 

 
 

",284,"aid-programs exemptions-and-waivers surviving-spousechild-of-deceased-public-servants 1
The purpose of the program is to provide free tuition and fees, free textbooks, and possibly free room and board to certain students whose parent or spouse was killed in the line of duty on or after September 1, 2000, while employed in certain public service positions.
In order to be eligible for the exemption, you must:

Be a surviving spouse or a surviving minor child of certain public employees.
Be enrolled full-time.

Additionally, undergraduate students must maintain a 2.0 cumulative GPA and must not be subject to the fee for excessive hours, as determined by the Office of the Registrar. Graduate students must maintain a 3.0 cumulative GPA.
Eligible students are exempted from the payment of all tuition and fees. In addition, UT Dallas will provide an allowance for textbooks. If you are eligible to live in on-campus housing, UT Dallas will provide you either free room or board, or if no on-campus housing is available, the University will provide you a room and board stipend equal to the amount you could have received if living on-campus. No funds may be used to pay tuition for continuing education courses for which UT Dallas receives no state tax support.
Contact the Office of Financial Aid for information on claiming this exemption. You must be able to provide proof of meeting the program’s eligibility requirements, as outlined above.

 

 
 

"
aid-programs,aid-programs exemptions-and-waivers taps-performers 1,"The purpose of this program is to provide students who play taps at military funerals with a voucher for tuition reduction at certain institutions of higher education in Texas.
Students in grades 6 through 12 or at postsecondary educational institutions who sound “Taps” on a bugle, trumpet, or cornet during military honors funerals held in Texas for deceased veterans are eligible for the program.
A voucher in the amount of $25 is issued each time a student sounds “Taps” at a military veteran’s funeral. Vouchers may be used by the student to whom they are issued to pay for tuition and fees and are not transferable. Vouchers do not have an expiration date.
Students contact local licensed funeral home(s) to make arrangements to provide TAPS during funerals honoring military veterans. The funeral director provides the TVCTAPS (TAPS Certification) form which is completed and signed by the student (or parent or legal guardian if the student is under the age of 18) and the funeral director following the playing of TAPS. The student or parent then submits the form to the address printed on the bottom of the form. It is the student’s responsibility to maintain a record of vouchers earned through the TAPS Tuition Voucher program.
After receiving the TAPS Certification form, the Texas Veterans Commission will issue and mail a voucher to the student. Each voucher made out in the student’s name represents $25 reduction in tuition and fees at certain institutions of higher education in Texas. Submit the voucher to the Bursar’s Office. In order to use the voucher, undergraduate students must maintain a 2.0 cumulative GPA and must not be subject to the fee for excessive hours, as determined by the Office of the Registrar. Graduate students must maintain a 3.0 cumulative GPA.

 

 
 

",385,"aid-programs exemptions-and-waivers taps-performers 1
The purpose of this program is to provide students who play taps at military funerals with a voucher for tuition reduction at certain institutions of higher education in Texas.
Students in grades 6 through 12 or at postsecondary educational institutions who sound “Taps” on a bugle, trumpet, or cornet during military honors funerals held in Texas for deceased veterans are eligible for the program.
A voucher in the amount of $25 is issued each time a student sounds “Taps” at a military veteran’s funeral. Vouchers may be used by the student to whom they are issued to pay for tuition and fees and are not transferable. Vouchers do not have an expiration date.
Students contact local licensed funeral home(s) to make arrangements to provide TAPS during funerals honoring military veterans. The funeral director provides the TVCTAPS (TAPS Certification) form which is completed and signed by the student (or parent or legal guardian if the student is under the age of 18) and the funeral director following the playing of TAPS. The student or parent then submits the form to the address printed on the bottom of the form. It is the student’s responsibility to maintain a record of vouchers earned through the TAPS Tuition Voucher program.
After receiving the TAPS Certification form, the Texas Veterans Commission will issue and mail a voucher to the student. Each voucher made out in the student’s name represents $25 reduction in tuition and fees at certain institutions of higher education in Texas. Submit the voucher to the Bursar’s Office. In order to use the voucher, undergraduate students must maintain a 2.0 cumulative GPA and must not be subject to the fee for excessive hours, as determined by the Office of the Registrar. Graduate students must maintain a 3.0 cumulative GPA.

 

 
 

"
aid-programs,aid-programs exemptions-and-waivers teaching-and-research-assistants 1,"The purpose of this program is to permit an individual employed at least half-time by a public institution of higher education as a research (RA) or teaching (TA) assistant, and the assistant’s spouse and children, to enroll in public institutions in Texas while paying the resident tuition rate.
In order to be eligible for the waiver, you must:

Be a TA or RA, or be the spouse or dependent child of a TA or RA.
Be employed at least half-time by a public institution of higher education in Texas in a position related to your degree program under the rules and regulations established by the employer institution.

The Office of Financial Aid is responsible for administering the waiver, which is applied on a term-by-term basis for each term the student is employed as a TA or RA. Nonresident graduate students employed as TA’s and RA’s at UT Dallas are automatically considered for the waiver. If your research or teaching assistantship at UT Dallas is terminated before Census Day, the waiver will be canceled.
Spouses and dependent children of TA’s and RA’s must submit to the Office of Financial Aid the employed student’s Personnel Action Form. Additionally, spouses must submit a marriage license, and dependent children must submit proof of dependency in the form of a birth certificate or a copy of the parent’s most recent tax return showing the student claimed as a dependent.

 

 
 

",301,"aid-programs exemptions-and-waivers teaching-and-research-assistants 1
The purpose of this program is to permit an individual employed at least half-time by a public institution of higher education as a research (RA) or teaching (TA) assistant, and the assistant’s spouse and children, to enroll in public institutions in Texas while paying the resident tuition rate.
In order to be eligible for the waiver, you must:

Be a TA or RA, or be the spouse or dependent child of a TA or RA.
Be employed at least half-time by a public institution of higher education in Texas in a position related to your degree program under the rules and regulations established by the employer institution.

The Office of Financial Aid is responsible for administering the waiver, which is applied on a term-by-term basis for each term the student is employed as a TA or RA. Nonresident graduate students employed as TA’s and RA’s at UT Dallas are automatically considered for the waiver. If your research or teaching assistantship at UT Dallas is terminated before Census Day, the waiver will be canceled.
Spouses and dependent children of TA’s and RA’s must submit to the Office of Financial Aid the employed student’s Personnel Action Form. Additionally, spouses must submit a marriage license, and dependent children must submit proof of dependency in the form of a birth certificate or a copy of the parent’s most recent tax return showing the student claimed as a dependent.

 

 
 

"
aid-programs,aid-programs exemptions-and-waivers texas-guaranteed-tuition 1,"The Texas Guaranteed Tuition Plan (formerly the Texas Tomorrow Fund) is a pre-paid college savings plan. The purpose of this program is to pay for your undergraduate tuition and campus-wide required fees for each academic term in which you are enrolled until your benefits are depleted.
For eligible nonresident students, there are two components to the program: a waiver of nonresident tuition and an exemption of the remaining in-state tuition and fees.
The signed Texas Tomorrow card along with a form of identification must be brought to the Bursar’s Office in order to apply the payment to your tuition and fees.

 

 
 

",133,"aid-programs exemptions-and-waivers texas-guaranteed-tuition 1
The Texas Guaranteed Tuition Plan (formerly the Texas Tomorrow Fund) is a pre-paid college savings plan. The purpose of this program is to pay for your undergraduate tuition and campus-wide required fees for each academic term in which you are enrolled until your benefits are depleted.
For eligible nonresident students, there are two components to the program: a waiver of nonresident tuition and an exemption of the remaining in-state tuition and fees.
The signed Texas Tomorrow card along with a form of identification must be brought to the Bursar’s Office in order to apply the payment to your tuition and fees.

 

 
 

"
aid-programs,aid-programs grants accepting-tx-grant 1,"Login to Galaxy at galaxy.utdallas.edu

Use your Netid to login

Click on the Orion Student Center link.

Access Your To Do List

Once you are in the Student Center, click on the To Do List – More link to access your To Do List.

Select the TEXAS Grant Statement of Eligibility

Carefully Review the Program Eligibility Information
Select “Yes” or “No” in order to answer the eligibility question.
Click “Save” and then “Next.”

Click “Finish” to submit the TEXAS Grant Statement of Eligibility.

If you have any questions about this process, please contact the Office of Financial Aid at financial-aid@utdallas.edu or at 972-883-2941

 

 
 

",191,"aid-programs grants accepting-tx-grant 1
Login to Galaxy at galaxy.utdallas.edu

Use your Netid to login

Click on the Orion Student Center link.

Access Your To Do List

Once you are in the Student Center, click on the To Do List – More link to access your To Do List.

Select the TEXAS Grant Statement of Eligibility

Carefully Review the Program Eligibility Information
Select “Yes” or “No” in order to answer the eligibility question.
Click “Save” and then “Next.”

Click “Finish” to submit the TEXAS Grant Statement of Eligibility.

If you have any questions about this process, please contact the Office of Financial Aid at financial-aid@utdallas.edu or at 972-883-2941

 

 
 

"
aid-programs,aid-programs student-loans 1,"Student loans are financial aid that you and, in some cases, your parents borrow and repay with interest. Some student loans require that you demonstrate financial need, which is determined by subtracting your Expected Family Contribution (EFC) from your estimated cost of attendance at UT Dallas, while other student loans do not require you to have financial need. There are three major categories of student loans: federal loans, state loans, and private loans.

 

 
 

",96,"aid-programs student-loans 1
Student loans are financial aid that you and, in some cases, your parents borrow and repay with interest. Some student loans require that you demonstrate financial need, which is determined by subtracting your Expected Family Contribution (EFC) from your estimated cost of attendance at UT Dallas, while other student loans do not require you to have financial need. There are three major categories of student loans: federal loans, state loans, and private loans.

 

 
 

"
